Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I am working more hours than before;I am now working below my former career level;I am earning less;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;,Timing not right;Lack of care provision;Lack of support (family/network) ;Unsuccessful applications;,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money to provide for myself/my family;Being a positive role model;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Independence from other people's decisions;",Stay-at-home parent;,nice to have,nice to have,nice to have,Motherhood;Lone parent;Perimenopausal or Menopausal;,2 children,No,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,ky12
Yes,Yes,onbreak,2 to 5 years,Childcare;Workplace bullying;Redundancy;,Lack of care provision;Lack of affordable care;Not knowing where to start;,I can't return as I don't have childcare even when they go to school I'll have to cover holidays and school drop offs,,,,,,"No, only one break of 6 months or more",,,,Fulfilment;Financial independence;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White British Italian ,Eh12 
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning more;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,Lack of care provision;Health issue (lack of support);Lack of jobs (local area);Lack of flexible jobs;Career switch (unsure what);,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;Status;Being a positive role model;Meeting family expectations;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;,2 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Scottish,EH10 7AE
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;,more than 5 years,Maternity Leave;,Lack of flexible jobs;Lack of jobs (salary/experience);Lack of jobs (with progression);Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Being a positive role model;",Volunteering;Studying - full-time or part-time;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,1 child,No,40 to 49 years,Master's dregree or equivalent,Over 20 years,White,G41
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Lack of care provision;,Within the next three months,,,,,,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Following my ambition;Following my dreams;Contributing to my savings/retirement;Earning money to provide for myself/my family;Status;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,2 children,No,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",15-20 years,White Scottish,Eh19
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am earning less;I have a better (work)life balance;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of care provision;Lack of flexible jobs;Lack of confidence in skills/experience;Lack in confidence;,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,"No – the first or earlier break(s) had the main positive impact, after later break(s) things didn’t change much",Contributing to society;Earning money to provide for myself/my family;Following my ambition;Fulfilment;Contributing to my savings/retirement;,Studying - full-time or part-time;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,nice to have,"Motherhood;Perimenopausal or Menopausal;ADHD, autism or other neurodivergence ;",3 children,No,40 to 49 years,Master's dregree or equivalent,15-20 years,White Other British,EH15
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;I have a better (work)life balance;,more than 5 years,Other Caring Responsibilities;Supporting partner's career;,Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to society;Being a positive role model;",Stay-at-home parent;Unpaid caring responsibility (other than your own children);,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Older woman (55+);Perimenopausal or Menopausal;,4 or more children,Yes,50 to 59 years,Doctoral (PhD) or equivalent,5-10 years,Irish,Eh11 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I changed career;I am earning more;I am less confident in my skills/ the work I do;I found out I'm autistic after burning out in my previous career so got a new one after several yrs of benefits;,2 to 5 years,Burn-out;Health reasons/disability/recovery;,"Relocation (struggle with culture/market);Unsuccessful applications;Discrimination (age/gender/ethnicity);my previous career, age and disability all worked against me;","Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,Earning money to provide for myself/my family;Following my ambition;Fulfilment;Giving my personal best;Contributing to society;,Studying - full-time or part-time;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,very helpful,N/A,"Perimenopausal or Menopausal;Mental health issues;Disabled or chronic health condition;ADHD, autism or other neurodivergence ;Woman affected by domestic abuse;Experience of trauma;LGBTQIA+;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);",No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Other British,EH14
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;,Lack of support (family/network);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Career switch (unsure what);Not knowing where to start;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Earning money to provide for myself/my family;Contributing to my savings/retirement;Independence from other people's decisions;Following my ambition;,Stay-at-home parent;,nice to have,nice to have,N/A,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,5-10 years,Any other White ethnic group,Eh12
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Burn-out;Workplace bullying;Health reasons/disability/recovery;,Health issues (unable to work) ;Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Relocation (struggle with culture/market);Unsuccessful applications;Discrimination (age/gender/ethnicity);,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;",Studying - full-time or part-time;Volunteering;Stay-at-home parent;Unpaid caring responsibility (other than your own children);,N/A,very helpful,nice to have,"Motherhood;Caring for a child with additional support needs (of any age);Caring for an adult relative;Older woman (55+);Perimenopausal or Menopausal;Mental health issues;ADHD, autism or other neurodivergence ;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);",No child,,50 to 59 years,Master's dregree or equivalent,Over 20 years,Any other White ethnic group,EH6
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my potential/skills;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Fulfilment;Contributing to my savings/retirement;Contributing to society;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,3 children,No,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Eh12
Yes,Yes,onbreak,2 to 5 years,Maternity leave;Childcare;,Lack of flexible jobs;Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Career switch (unsure what);,Immediately,,,,,,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Fulfilment;Giving my personal best;,Stay-at-home parent;,no need for this,very helpful,very helpful,Motherhood;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,Up to 5 years,Any other White ethnic group,EH5
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my potential/skills;I am earning less;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;May leave then taking time to find a new job as I left my old one where I was no longer happy.;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Fulfilment;Contributing to society;",Studying - full-time or part-time;Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,2 children,No,40 to 49 years,Master's dregree or equivalent,15-20 years,White Other British,EH12
Yes,Yes,onbreak,more than 5 years,Health reasons/disability/recovery;,Health issues (unable to work);Health issue (lack of support);Lack of market insight;Career switch (can’t afford);Not knowing where to start;Discrimination (age/gender/ethnicity);,Within the next three months,,,,,,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;+ve influence on mental health ;,Studying - full-time or part-time;(Re)Training;Volunteering;,no need for this,very helpful,very helpful,Older woman (55+);Perimenopausal or Menopausal;Mental health issues;Disabled or chronic health condition;,No child,,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH21
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;,"No obstacles, not seeking to return;",Within the next three months,,,,,,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;Fulfilment;",Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;Mental health issues;,2 children,No,40 to 49 years,Master's dregree or equivalent,15-20 years,White Scottish,eh30
Yes,Yes,onbreak,more than 5 years,Childcare;,Timing not right;Lack of support (family/network);Lack of market insight;Career switch (unsure what);Not knowing where to start;Discrimination (career gap);,In about a year,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;",Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,40 to 49 years,Master's dregree or equivalent,5-10 years,"Chinese, Chinese Scottish or Chinese British",G3
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Lack of support (family/network);Lack of jobs (local area);Lack of flexible jobs;Discrimination (age/gender/ethnicity);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Independence from other people's decisions;Following my dreams;Fulfilment;Being a positive role model;,Stay-at-home parent;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,40 to 49 years,Master's dregree or equivalent,15-20 years,Any other White ethnic group,EH7 
Yes,Yes,onbreak,2 to 5 years,Maternity leave;Health reasons/disability/recovery;,Lack of care provision;Lack of affordable care;Health issue (lack of support);Health issues (unable to work);Not knowing where to start;,In about a year,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Being a positive role model;Fulfilment;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Disabled or chronic health condition;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Other British,Eh52
Yes,Yes,onbreak,more than 5 years,Other Caring Responsibilities;,Lack of support (family/network);Lack of flexible jobs;Not knowing where to start;,"Unknown. If I could find something flexible and with a company that understood my very inconsistent caring needs, I could start within the next 3 months",,,,,,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Fulfilment;Being a positive role model;Contributing to society;Giving my personal best;Financial independence;,Stay-at-home parent;,no need for this,very helpful,nice to have,"Caring for a child with additional support needs (of any age);Motherhood;ADHD, autism or other neurodivergence ;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);",2 children,Yes,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,Any other White ethnic group,EH17
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",My stress levels have increased ;I am less confident in my skills/ the work I do;I am now working fewer hours than before/ I would like to/ am able to ;,6 months to 2 years,Maternity Leave;,Lack of care provision;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Financial independence;Independence from other people's decisions;",Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Scottish,EH30
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Supporting partner's career;Relocation;Living overseas to support husbands job;,Timing not right;Lack of care provision;Lack of support (family/network) ;Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Career switch (unsure what);Not knowing where to start;Unsuccessful applications;Discrimination (career gap);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,Not sure,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Being a positive role model;Contributing to society;Fulfilment;",Volunteering;Stay-at-home parent;(Re)Training;,nice to have,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,1 child,No,50 to 59 years,Bachelor's degree or equivalent,Over 20 years,White Other British,KY16 
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now self-employed ;I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;,2 to 5 years,Childcare;,Lack of flexible jobs;Lack of affordable care;Lack of support (family/network) ;,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Being a positive role model;Contributing to society;",Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,nice to have,very helpful,nice to have,Motherhood;Perimenopausal or Menopausal;Mental health issues;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Other British,EH19
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Travelling;,Lack of jobs (with progression);Lack of market insight;Lack in confidence;Career switch (can’t afford);,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Giving my personal best;Contributing to my savings/retirement;Independence from other people's decisions;Fulfilment;,Volunteering;,no need for this,no need for this,nice to have,Perimenopausal or Menopausal;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,EH10
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am now working fewer hours than before/ I would like to/ am able to ;I am now self-employed ;I am earning more;I have a better (work)life balance;,6 months to 2 years,Childcare;Other Caring Responsibilities;Workplace bullying;Health reasons/disability/recovery;Bereavement by suicide;,Lack of care provision;Lack of support (family/network) ;Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Discrimination (career gap);Discrimination (age/gender/ethnicity);,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Contributing to my savings/retirement;Fulfilment;Status;Contributing to society;,Studying - full-time or part-time;Volunteering;Unpaid caring responsibility (other than your own children);Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;Perimenopausal or Menopausal;Experience of trauma;Caring for a child with additional support needs (of any age);,2 children,Yes,50 to 59 years,Doctoral (PhD) or equivalent,Over 20 years,White Scottish,Eh42
Yes,Yes,onbreak,2 to 5 years,Maternity leave;Childcare;,Lack of care provision;Lack of affordable care;Lack of support (family/network);Lack of flexible jobs;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Fulfilment;Earning money to provide for myself/my family;,Stay-at-home parent;,very helpful,very helpful,no need for this,Motherhood;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,Any other White ethnic group,EH14 1TX 
Yes,Yes,onbreak,more than 5 years,Health reasons/disability/recovery;Other Caring Responsibilities;Workplace bullying;,Health issues (unable to work);Health issue (lack of support);Lack of confidence in skills/experience;Lack in confidence;Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);,Immediately,,,,,,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;Contributing to society;Following my dreams;,Studying - full-time or part-time;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;Unpaid caring responsibility (other than your own children);,no need for this,very helpful,very helpful,"Mental health issues;ADHD, autism or other neurodivergence ;Disabled or chronic health condition;Veteran or spouse of a veteran;Experience of trauma;LGBTQIA+;",No child,,50 to 59 years,Bachelor's degree or equivalent,15-20 years,White Scottish,G44
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,Lack of flexible jobs;Lack of jobs (with progression);Career switch (can’t afford);Career switch (unsure what);,"Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly positive impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;Status;,Stay-at-home parent;Travelling;,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;Disabled or chronic health condition;,2 children,No,40 to 49 years,Doctoral (PhD) or equivalent,Over 20 years,White Other British,Eh30
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;,2 to 5 years,Health reasons/disability/recovery;,Health issue (lack of support);Lack of confidence in skills/experience;Lack in confidence;Unsuccessful applications;Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Giving my personal best;Contributing to society;",Volunteering;,N/A,very helpful,very helpful,Mental health issues;Disabled or chronic health condition;Experience of trauma;,No child,,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,Ka22 7lu 
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Lack of support (family/network);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Independence from other people's decisions;Following my ambition;Following my dreams;Fulfilment;Earning money to provide for myself/my family;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,no need for this,Motherhood;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,G4 9EQ
Yes,Yes,onbreak,more than 5 years,Childcare;,Lack of flexible jobs;Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Career switch (unsure what);Unsuccessful applications;Discrimination (career gap);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Following my ambition;Fulfilment;Being a positive role model;",Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;Mental health issues;,3 children,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Eh53
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now self-employed ;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of affordable care;Lack of flexible jobs;Lack of jobs (with progression);,"Yes, three or more separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,Not sure,Earning money to provide for myself/my family;Financial independence;Following my dreams;,Studying - full-time or part-time;Stay-at-home parent;(Re)Training;,very helpful,very helpful,very helpful,Motherhood;,3 children,No,40 to 49 years,Bachelor's degree or equivalent,10-15 years,White Other British,Eh31
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am working more hours than before;I have a better (work)life balance;I am more confident in my skills/the work I do;,6 months to 2 years,Maternity Leave;,Lack of affordable care;Lack of support (family/network) ;Lack of flexible jobs;,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Contributing to society;Fulfilment;Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Being a positive role model;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;,2 children,No,50 to 59 years,Master's dregree or equivalent,Over 20 years,Irish,EH9
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I have a better (work)life balance;,2 to 5 years,Childcare;Covid ;,Lack of support (family/network) ;Lack of flexible jobs;,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,Fulfilment;Contributing to society;Being a positive role model;Earning money to provide for myself/my family;,Studying - full-time or part-time;Volunteering;Stay-at-home parent;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;(Re)Training;Unpaid caring responsibility (other than your own children);,nice to have,very helpful,nice to have,Motherhood;Caring for an adult relative;,2 children,No,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Other British,EH4 
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work","Nothing has changed, I picked up after my break where I had left;",6 months to 2 years,Maternity Leave;Childcare;,"No obstacles, it was planned and/or worked out well ;","Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Not sure,Earning money to provide for myself/my family;Following my dreams;Fulfilment;Giving my personal best;Making change for future generations;,Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,3 children,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,Eh14 
Yes,Yes,onbreak,6 months to 2 years,"Childcare;Other Caring Responsibilities;Supporting partner's career;Took the opportunity to focus on volunteering more at the foodbank I set up at the start of COVID as well as support kids, husbands career and a very ill parent ;",Lack of flexible jobs;Discrimination (career gap);,Within the next three months,,,,,,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Same or related reasons,The different breaks had different impacts which are not related,Financial independence;Contributing to my savings/retirement;Following my ambition;Being a positive role model;Making change for future generations;,Volunteering;Studying - full-time or part-time;Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,2 children,No,40 to 49 years,Master's dregree or equivalent,15-20 years,Irish,Eh14
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am working more hours than before;I am more confident in my skills/the work I do;,6 months to 2 years,Redundancy;,Lack of confidence in skills/experience;Lack in confidence;,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Fulfilment;",(Re)Training;,no need for this,nice to have,nice to have,Motherhood;Older woman (55+);Perimenopausal or Menopausal;,1 child,No,50 to 59 years,Bachelor's degree or equivalent,Over 20 years,White Other British,Eh15
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I changed career;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Redundancy;Workplace bullying;Other Caring Responsibilities;,Lack of flexible jobs;Lack of jobs (salary/experience);Unsuccessful applications;,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;Fulfilment;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;Unpaid caring responsibility (other than your own children);,nice to have,very helpful,not sure,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;,1 child,Yes,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,Eh14 
Yes,Yes,onbreak,more than 5 years,Health reasons/disability/recovery;Workplace bullying;,Health issue (lack of support);Lack of flexible jobs;Discrimination (career gap);Discrimination (age/gender/ethnicity);Lack of confidence in skills/experience;Not knowing where to start;,Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;",Studying - full-time or part-time;,N/A,very helpful,N/A,"Older woman (55+);Perimenopausal or Menopausal;Mental health issues;Disabled or chronic health condition;ADHD, autism or other neurodivergence ;Experience of trauma;",No child,,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Northern Irish ,ML12
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I changed career;,2 to 5 years,Health reasons/disability/recovery;,Health issues (unable to work) ;Health issue (lack of support);Lack of jobs (local area);Lack of jobs (salary/experience);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;",Studying - full-time or part-time;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,no need for this,very helpful,very helpful,Disabled or chronic health condition;LGBTQIA+;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,No child,,30 to 39 years,Master's dregree or equivalent,5-10 years,White Other British,PA37
